collection;xcoord;ycoord
20781;1042662.28322451;6325218.49774766
20799;810197.657667645;6322144.50854338
20826;920448.669103743;6694205.46525262
22469;934466.00620053;6730846.7771632
21022;343939.821513227;6821751.7250071
21022;343939.821513227;6821751.7250071
21022;343939.821513227;6821751.7250071
21226;882351.323664161;6568433.1477527
21431;705479.028267612;7029637.35107652
21582;897998.020529954;6275572.34350047
22618;1014295.48776473;6491638.53689713
22619;1014301.17270821;6491637.9001158
