collection;rayon;espece_fleur;nb_insecte;nb_espece_insecte;nb_famille_insecte;nb_ordre_insecte;log_nb_insecte;log_nb_espece_insecte;log_nb_famille_insecte;log_nb_ordre_insecte;UA_code_2018_simp;ville;part_dist_centre;bn;bd;bh;bc;bf;bam;bastd;bw;bhw;oso_1;oso_2;oso_3;oso_4;oso_5;oso_6;oso_7;oso_8;oso_9;oso_10;oso_12;oso_13;oso_14;oso_15;oso_16;oso_17;oso_18;oso_19;oso_20;oso_21;oso_23;OSO_F1;OSO_F2;OSO_F3;OSO_F4;log_p11100;log_p11210;log_p11220;log_p11230;log_p11240;log_p11300;log_p12100;log_p12220;log_p13400;log_p14100;log_p14200;log_p21000;log_p23000;log_p31000;log_p50000;UA_F1;UA_F2;UA_F3;UA_F4
58261;500;Jacobaea_vulgaris;5;5;4;2;0,77815125;0,77815125;0,698970004;0,477121255;14100;Paris;0,349986675;789;0,135703567;1,0525211;0,739010249;0,052093626;226,1635091;449,8287704;0,400649451;2,627037416;0,011917557;0,556152652;0,351631999;0,001922187;0;0;0;0;0;0;0;0,032292735;0;0;0,044082146;0,001922187;0;0;0;0;0;3,911;-1,109;0,496;-1,355;0,900579864;1,506455128;1,354171134;0;0;0;0,849175017;1,029380876;0;1,113921381;1,025760989;0;0;0,522670892;0;3,051379801;0,393208045;0,652759543;-0,519762369
58268;500;Daucus_sp;27;22;15;6;1,447158031;1,361727836;1,204119983;0,84509804;14100;Bordeaux;0,090575877;720;0,175835191;1,565381912;0,632264465;0,038331477;395,885693;750,9837452;0,457247059;3,423492573;0,00089702;0,407631702;0,455558221;0,002562915;0,000128146;0,001537749;0;0;0,000128146;0,000128146;0;0,022681802;0;0,014608618;0,022809947;0,06881428;0,000640729;0;0;0,001537749;0;3,808;1,207;-1,005;1,201;0,33312669;1,077020287;0;0;0;0;1,663522168;1,104246829;0;1,447892145;0,520801081;0,324072215;0;0;0;3,153139943;-1,191064232;0,296939878;0,054184099
58269;500;Daucus_sp;19;16;12;5;1,301029996;1,230448921;1,113943352;0,77815125;14100;Bordeaux;0,087904265;635;0,159987508;1,423349623;0,645537039;0,039983899;426,0002339;777,0825919;0,466550885;3,050791817;0,000256292;0,396739311;0,394560833;0,002819207;0;0,00243477;0;0;0,000128146;0,000640729;0;0,026526175;0;0,042544396;0,026013592;0,105079533;0,00089702;0;0;0,001537749;0;3,584;1,464;-1,179;1,211;0,333188944;1,512163863;0;0;0;0;1,381579972;1,010225415;0;1,400103607;0,532683149;0,946246254;0,001211097;0;0;2,838692399;-0,749941132;-0,304322433;0,113795096
58278;500;Daucus_sp;2;2;0;1;0,477121255;0,477121255;0;0,301029996;14100;Paris;0,158968599;420;0,153093062;2,291622882;0,654427989;0,015986249;897,648812;3410,210895;0,822478258;2,78624129;0,060100367;0,178378915;0,655081188;0,085601376;0;0,000128146;0;0;0;0;0;0,001409603;0;0;0,019350012;0,000256292;0;0;0;0;0;3,704;-3,001;-1,783;0,137;1,109501392;0,691635848;0;0;0;0;1,120375088;1,491214979;0;1,340664333;0;0;0;0;0;3,038617075;-1,386352659;-0,030584343;0,208276049
58281;500;Jacobaea_vulgaris;3;3;3;2;0,602059991;0,602059991;0,602059991;0,477121255;14100;Paris;0,158986244;418;0,152898302;2,290038899;0,654946309;0,015940658;902,2037693;3421,488035;0,822973595;2,782639579;0,059972221;0,177994478;0,655721917;0,085601376;0;0,000128146;0;0;0;0;0;0,001409603;0;0;0,019350012;0,000256292;0;0;0;0;0;3,698;-3,004;-1,789;0,140;1,106876005;0,68711182;0;0;0;0;1,120313971;1,491935531;0;1,338988502;0;0;0;0;0;3,036951876;-1,3857718;-0,030322749;0,207761076
58283;500;Jacobaea_vulgaris;4;4;4;2;0,698970004;0,698970004;0,698970004;0,477121255;14100;Paris;0,433051658;592;0,108023856;1,295026323;0,655823627;0,018979295;233,5813561;1162,283618;0,739328826;1,751624282;0,012686431;0,393920104;0,469654256;0,061894408;0;0;0;0;0;0;0;0,003844373;0;0;0,055999703;0,000128146;0;0;0;0;0,001665895;3,320;-2,529;-1,530;-0,633;0,509626607;1,391302729;0,749260351;0;0;0;1,409168601;1,497003226;0;0,924484272;0,870971248;0;0;0;0;3,716112854;-0,179609086;0,223745655;0,147203338
58286;500;Jacobaea_vulgaris;4;2;1;1;0,698970004;0,477121255;0,301029996;0,301029996;23000;Caen;0,84403649;170;0,02391352;0,129687756;0,711183754;0,033199221;151,7152107;185,5524685;0,722106228;0,179596507;0;0,188758723;0,021015907;0;0,000256292;0,180557393;0,076503026;0;0;0,045748041;0,094058997;0,363549556;0;0,000256292;0,019606303;0,003075499;0;0,006407289;0;0;0;-3,070;-0,585;1,748;-0,230;0;0;1,254017615;1,13200585;0,455508636;0;0;0,822029413;0;0;0;1,737916419;0,985793035;0;0;-1,770379447;2,238499294;-0,193638412;0,202127118
58288;500;Heracleum_sphondylium;2;2;2;2;0,477121255;0,477121255;0,477121255;0,477121255;23000;Caen;0,844154878;170;0,02391352;0,129687756;0,711183754;0,033220676;151,7152107;185,5524685;0,722022781;0,179617264;0;0,188502431;0,021015907;0;0,000256292;0,179019644;0,077015609;0;0;0,045491749;0,095981184;0,36342141;0;0,000256292;0,019606303;0,003075499;0;0,006407289;0;0;0;-3,068;-0,587;1,744;-0,232;0;0;1,253468958;1,13200585;0,455508636;0;0;0,822524092;0;0;0;1,738036269;0,985793035;0;0;-1,770101961;2,234624843;-0,192686657;0,203129326
58294;500;Daucus_sp;19;11;7;4;1,301029996;1,079181246;0,903089987;0,698970004;23000;Bourges;0,131864278;52;0,02138009;0,147043074;0,389458889;0,0051062;869,6085937;2287,866176;0,839435921;0,175168909;0;0,051642746;0,172996793;0,020631469;0,003716227;0,103157347;0;0;0,000128146;0,000128146;0,000256292;0,436592647;0;0;0,166461358;0,01909372;0;0,00243477;0;0;0,022938093;-2,018;-2,458;-2,053;1,117;0;0;0;0;0;0;0,98695281;0,535395599;0;0;0;1,579123633;1,625377583;0,644542651;0,884630247;-1,982848251;-1,796242507;-0,419171941;0,147366137
58307;500;Heracleum_sphondylium;33;25;17;4;1,531478917;1,414973348;1,255272505;0,698970004;14200;Paris;0,128086486;84;0,030972593;0,506031255;0,454659747;0,007422451;529,8404386;2203,350954;0,916987236;0,551841111;0,008842058;0,044082146;0,493489369;0,004741394;0;0,001537749;0;0;0;0;0;0,035624525;0;0;0,337151527;0,020118886;0;0;0;0;0,054590099;0,816;-2,822;-3,408;-0,643;0;0;0;0;0;0;1,457986409;0;0;1,522104339;1,586280135;0;0;0;0,448405021;1,119733786;-2,594413904;1,317101169;-0,564088417
